"X.1","Taille","Poids","Âge","Sélections"
"Croatie","184.7","78.43","26.3","32.39"
"Galles","181.17","75.7","26.83","31.3"
"Suisse","183.83","79.65","25.57","30.39"
"Islande","185.13","78.78","27.13","31.17"
"Autriche","185.13","79.17","27.13","30.7"
"Albanie","181.74","75.65","27.04","21.65"
"République tchèque","184.04","78.35","28.7","36.43"
"Allemagne","185.48","80.3","25.43","40.83"
"Suède","186","80.17","27.22","34.96"
"Slovaquie","183.52","77.7","28.43","37.26"
"Roumanie","181.43","75.83","28.3","22.13"
"Irlande","182.61","77.7","29.39","41.91"
"Angleterre","183","75.09","25.39","22.52"
"France","181.57","76.91","27.3","26.61"
"Belgique","185","77.78","25.91","31.96"
"Portugal","180.87","75.61","27.87","35.39"
"Italie","183","77","28.43","31.57"
"Turquie","180.57","73.96","26.39","27.48"
"Russie","183.39","77.48","28.83","32.22"
"Espagne","180.39","74.35","27.61","42.57"
"Hongrie","184.83","79.43","27.52","28.61"
"Ukraine","183.57","75.35","27.39","35.35"
"Pologne","184.3","77.74","27.13","28.26"
"Irlande du Nord","182.65","76.78","28","32.39"
